vma_linknr,camera_id,camera_naam,camera_kijkrichting,rijrichting,longitude,latitude,geom,azimuth,order_kaart,order_naam,cordon,richting,rijrichting_correct
,,ANPR-00015-V_ANPR-05036 - Rijstrook 3 - Alexanderplein,112.5,1,4.919436,52.363376,POINT(4.919436 52.363376),,,,,,
,,ANPR-00017-V_ANPR-05030 - Rijstrook 1 - Weesperzijde,180,-1,4.914509,52.345853,POINT(4.914509 52.345853),,,,,,
,,ANPR-00017-V_ANPR-05030 - Rijstrook 1 - Weesperzijde,180,1,4.914509,52.345853,POINT(4.914509 52.345853),,,,,,
,,ANPR-00017-V_ANPR-05037 - Rijstrook 4 - Vrijheidslaan,90,1,4.911441,52.347027,POINT(4.911441 52.347027),,,,,,
,,ANPR-00017-V_ANPR-05037 - Rijstrook 4 - Vrijheidslaan,135,1,4.911441,52.347027,POINT(4.911441 52.347027),,,,,,
19797,3a6b0a00-7e93-48b9-bc06-9e0871a20d18,ANPR-01001-A - Rijstrook -1 - Spaarndammerdijk,270,-1,4.870111,52.393001,POINT(4.870111 52.393001),,,,,,
,,ANPR-01001-A - Rijstrook -1 - Spaarndammerdijk,270,1,4.870111,52.393001,POINT(4.870111 52.393001),,,,,,
19797,a8f116f1-4538-433f-9f18-c8eee204b171,ANPR-01001-A - Rijstrook -2 - Spaarndammerdijk,270,-1,4.870111,52.393001,POINT(4.870111 52.393001),,,,,,
,,ANPR-01001-A - Rijstrook -2 - Spaarndammerdijk,270,1,4.870111,52.393001,POINT(4.870111 52.393001),,,,,,
,,ANPR-01004-A - Rijstrook -1 - Haarlemmerweg,270,1,4.847135,52.384856,POINT(4.847135 52.384856),,1,Haarlemmerweg,A10,uit,nee
210807,0b3925e9-7fb6-43ed-8989-492773e1cedf,ANPR-01004-A - Rijstrook -1 - Haarlemmerweg,270,-1,4.847135,52.384856,POINT(4.847135 52.384856),,1,Haarlemmerweg,A10,in,ja
,,ANPR-01004-A - Rijstrook -2 - Haarlemmerweg,270,1,4.847135,52.384856,POINT(4.847135 52.384856),,1,Haarlemmerweg,A10,uit,nee
210807,b28eae12-4ef3-4623-be0c-8916f453889d,ANPR-01004-A - Rijstrook -2 - Haarlemmerweg,270,-1,4.847135,52.384856,POINT(4.847135 52.384856),,1,Haarlemmerweg,A10,in,ja
,,ANPR-01004-B - Rijstrook -3 - Haarlemmerweg,270,1,4.847135,52.384856,POINT(4.847135 52.384856),,1,Haarlemmerweg,A10,uit,nee
,,ANPR-01004-B - Rijstrook -3 - Haarlemmerweg,270,-1,4.847135,52.384856,POINT(4.847135 52.384856),,1,Haarlemmerweg,A10,in,ja
,,ANPR-01004-B - Rijstrook -4 - Haarlemmerweg,270,1,4.847135,52.384856,POINT(4.847135 52.384856),,1,Haarlemmerweg,A10,uit,nee
,,ANPR-01004-B - Rijstrook -4 - Haarlemmerweg,270,-1,4.847135,52.384856,POINT(4.847135 52.384856),,1,Haarlemmerweg,A10,in,ja
,bcb0f06f-d7a1-48d5-a67d-e333a7e32cf5,ANPR-01005-A - Rijstrook 1 - Wiltzanghlaan,270,1,4.845585,52.38173,POINT(4.845585 52.38173),,2,Wiltzanghlaan,A10,uit,nee
,995e30a4-9f3d-4e92-a67e-dce3cd548f7c,ANPR-03064-A - Rijstrook 3 - Nieuwe Utrechtseweg,180,1,4.912118,52.334781,POINT(4.912118 52.334781),,,,,,
,5fd62c39-3723-4330-9aee-4ac3988399aa,ANPR-03065-A - Rijstrook 1 - Rhijnspoorplein,157.5,-1,4.908585,52.359884,POINT(4.908585 52.359884),,,,,,
,5fd62c39-3723-4330-9aee-4ac3988399aa,ANPR-03065-A - Rijstrook 1 - Rhijnspoorplein,157.5,1,4.908585,52.359884,POINT(4.908585 52.359884),,,,,,
,88ceefbc-6ae9-4152-ba57-ea93fa69301a,ANPR-03065-A - Rijstrook 2 - Rhijnspoorplein,157.5,-1,4.908585,52.359884,POINT(4.908585 52.359884),,,,,,
,88ceefbc-6ae9-4152-ba57-ea93fa69301a,ANPR-03065-A - Rijstrook 2 - Rhijnspoorplein,157.5,1,4.908585,52.359884,POINT(4.908585 52.359884),,,,,,
,e9098fe2-7963-47a6-9ab9-6174b787990e,ANPR-03066-A - Rijstrook 1 - Rhijnspoorplein,337.5,-1,4.908558,52.360462,POINT(4.908558 52.360462),,,,,,
,e9098fe2-7963-47a6-9ab9-6174b787990e,ANPR-03066-A - Rijstrook 1 - Rhijnspoorplein,337.5,1,4.908558,52.360462,POINT(4.908558 52.360462),,,,,,
22744,a4bff9c9-5c67-4917-9847-2d4c83ef650c,ANPR-06001-A - Rijstrook -1 - Houtmankade,22.5,1,4.885722,52.390134,POINT(4.885722 52.390134),,1,Houtmankade,S100,uit,nee
,,ANPR-03013-A - Rijstrook 1 - Europaboulevard,315,-1,4.891527,52.337525,POINT(4.891527 52.337525),,,,,,
,,ANPR-03106-A - Rijstrook 2 - Europaboulevard,225,-1,4.891585,52.337325,POINT(4.891585 52.337325),,,,,,
,,ANPR-03116-A - Rijstrook 2 - Ringweg Noord,112.5,-1,4.91637,52.416945,POINT(4.91637 52.416945),,,,,,
,,ANPR-03034-A - Rijstrook 1 - Piet Heinkade,315,-1,4.933177,52.373196,POINT(4.933177 52.373196),,5,Piet Heinkade oost,op S100,rechtsom,nee
,,ANPR-00003-V_ANPR-05046 - Rijstrook 3 - Frederik Hendrikstraat,180,1,4.872371,52.374512,POINT(4.872371 52.374512),,,,,,
,,ANPR-00003-V_ANPR-05047 - Rijstrook 2 - Molenslootbrug,247.5,1,4.85636,52.37117,POINT(4.85636 52.37117),,,,,,
,,ANPR-00003-V_ANPR-05047 - Rijstrook 3 - Molenslootbrug,247.5,1,4.85636,52.37117,POINT(4.85636 52.37117),,,,,,
,,ANPR-00004-V_ANPR-05041 - Rijstrook 3 - Beethovenstraat,0,-1,4.876582,52.341743,POINT(4.876582 52.341743),,,,,,
,,ANPR-00004-V_ANPR-05041 - Rijstrook 3 - Beethovenstraat,0,1,4.876582,52.341743,POINT(4.876582 52.341743),,,,,,
,,ANPR-00004-V_ANPR-05041 - Rijstrook 3 - Beethovenstraat,180,1,4.876582,52.341743,POINT(4.876582 52.341743),,,,,,
,152d2d96-772b-4d23-9107-f9a400de7b56,ANPR-00005-V_ANPR-05501 - Rijstrook 1 - Haarlemmerplein,135,1,4.883353,52.384524,POINT(4.883353 52.384524),,,,,,
,bcb0f06f-d7a1-48d5-a67d-e333a7e32cf5,ANPR-01005-A - Rijstrook 1 - Wiltzanghlaan,270,-1,4.845585,52.38173,POINT(4.845585 52.38173),,2,Wiltzanghlaan,A10,in,ja
,,ANPR-00006-V_ANPR-05087 - Rijstrook 1 - Abcouderpad,315,-1,4.951805,52.313172,POINT(4.951805 52.313172),,,,,,
,,ANPR-00006-V_ANPR-05087 - Rijstrook 1 - Abcouderpad,315,1,4.951805,52.313172,POINT(4.951805 52.313172),,,,,,
,,ANPR-00007-V_ANPR-05072 - Rijstrook 1 - Cornelis Lelylaan,90,-1,4.829898,52.357463,POINT(4.829898 52.357463),,,,,,
,,ANPR-00007-V_ANPR-05072 - Rijstrook 1 - Cornelis Lelylaan,90,1,4.829898,52.357463,POINT(4.829898 52.357463),,,,,,
,,ANPR-00007-V_ANPR-05073 - Rijstrook 1 - Pieter Calandlaan,90,1,4.821801,52.356095,POINT(4.821801 52.356095),,,,,,
,,ANPR-00007-V_ANPR-05073 - Rijstrook 2 - Pieter Calandlaan,90,1,4.821801,52.356095,POINT(4.821801 52.356095),,,,,,
,,ANPR-00008-V_ANPR-05082 - Rijstrook 2 - Baden Powellweg,157.5,1,4.788924,52.359805,POINT(4.788924 52.359805),,,,,,
,,ANPR-00008-V_ANPR-05083 - Rijstrook 2 - Baden Powellweg,337.5,-1,4.78792,52.362393,POINT(4.78792 52.362393),,,,,,
,,ANPR-00008-V_ANPR-05083 - Rijstrook 2 - Baden Powellweg,337.5,1,4.78792,52.362393,POINT(4.78792 52.362393),,,,,,
,,ANPR-00009-V_ANPR-05059 - Rijstrook 1 - Fred. Roeskestraat,270,-1,4.861225,52.341098,POINT(4.861225 52.341098),,,,,,
,,ANPR-00009-V_ANPR-05059 - Rijstrook 1 - Fred. Roeskestraat,270,1,4.861225,52.341098,POINT(4.861225 52.341098),,,,,,
,,ANPR-00009-V_ANPR-05059 - Rijstrook 2 - Fred. Roeskestraat,270,-1,4.861225,52.341098,POINT(4.861225 52.341098),,,,,,
,,ANPR-00009-V_ANPR-05059 - Rijstrook 2 - Fred. Roeskestraat,270,1,4.861225,52.341098,POINT(4.861225 52.341098),,,,,,
22744,a4bff9c9-5c67-4917-9847-2d4c83ef650c,ANPR-06001-A - Rijstrook -1 - Houtmankade,22.5,-1,4.885722,52.390134,POINT(4.885722 52.390134),,1,Houtmankade,S100,in,ja
203140,ab1294ae-1e9e-4302-81e6-a567226097f0,ANPR-06056-A - Rijstrook -1 - Van Neckstraat,202.5,1,4.889111,52.389861,POINT(4.889111 52.389861),,2,Van Neckstraat,S100,in,nee
,,ANPR-00011-V_ANPR-05055 - Rijstrook 6 - IJburglaan,315,-1,4.971758,52.367972,POINT(4.971758 52.367972),,,,,,
,,ANPR-00011-V_ANPR-05055 - Rijstrook 6 - IJburglaan,315,1,4.971758,52.367972,POINT(4.971758 52.367972),,,,,,
,,ANPR-00011-V_ANPR-05092 - Rijstrook 2 - H.J.E. Wenckbachweg,157.5,1,4.927147,52.337759,POINT(4.927147 52.337759),,,,,,
,,ANPR-00012-V_ANPR-05506 - Rijstrook 1 - Texelweg,22.5,-1,4.925106,52.394863,POINT(4.925106 52.394863),,,,,,
,6fb0054b-5d5f-4dce-a1f5-fd4e3ece8367,ANPR-00012-V_ANPR-05506 - Rijstrook 1 - Texelweg,22.5,1,4.925106,52.394863,POINT(4.925106 52.394863),,,,,,
,,ANPR-00013-V_ANPR-05507 - Rijstrook 1 - Pontanusstraat,22.5,-1,4.930543,52.361407,POINT(4.930543 52.361407),,,,,,
,7f2e6e0c-2c85-40c7-ba44-ad9e662ed428,ANPR-00013-V_ANPR-05507 - Rijstrook 1 - Pontanusstraat,22.5,1,4.930543,52.361407,POINT(4.930543 52.361407),,,,,,
,,ANPR-01019-C - Rijstrook 4 - Amstelveenseweg,337.5,-1,4.85774,52.342171,POINT(4.85774 52.342171),,,,,,
,,ANPR-00013-V_ANPR-05507 - Rijstrook 2 - Pontanusstraat,22.5,-1,4.930543,52.361407,POINT(4.930543 52.361407),,,,,,
